Time (seconds)	Synchronized Synthetic MI Data (dB)	
20.6955	-63.9285+0.7896i
20.7288	-64.3997+0.7896i
20.7622	-64.6955+0.7896i
20.7955	-64.8888+0.7896i
20.8288	-64.9098+0.7896i
20.8622	-64.8378+0.7896i
20.8955	-64.5901+0.7896i
20.9288	-64.2009+0.7896i
20.9621	-63.6408+0.7896i
20.9955	-62.9469+0.7896i
21.0288	-62.2769+0.7896i
21.0621	-61.4614+0.7896i
21.0954	-60.7477+0.7896i
21.1288	-59.9506+0.7896i
21.1621	-59.2070+0.7896i
21.1954	-58.4325+0.7896i
21.2287	-57.6643+0.7896i
21.2621	-56.9179+0.7896i
21.2954	-56.2192+0.7896i
21.3287	-55.5933+0.7896i
21.3620	-55.0309+0.7896i
21.3954	-54.4973+0.7896i
21.4287	-53.9510+0.7896i
21.4620	-53.4443+0.7896i
21.4953	-52.9181+0.7896i
21.5287	-52.4353+0.7896i
21.5620	-52.0553+0.7896i
21.5953	-52.0672+0.7896i
21.6287	-52.0794+0.7896i
21.6620	-52.4079+0.7896i
21.6953	-53.0409+0.7896i
21.7286	-53.8716+0.7896i
21.7620	-54.8152+0.7896i
21.7953	-55.7226+0.7896i
21.8286	-56.3937+0.7896i
21.8619	-56.6880+0.7896i
21.8953	-56.5611+0.7896i
21.9286	-56.0645+0.7896i
21.9619	-55.3107+0.7896i
21.9952	-54.4223+0.7896i
22.0286	-53.6378+0.7896i
22.0619	-53.0088+0.7896i
22.0952	-52.6855+0.7896i
22.1285	-52.6642+0.7896i
22.1619	-52.8205+0.7896i
22.1952	-53.4213+0.7896i
22.2285	-54.0405+0.7896i
22.2618	-54.7929+0.7896i
22.2952	-55.5230+0.7896i
22.3285	-56.1006+0.7896i
22.3618	-56.4805+0.7896i
22.3952	-56.6078+0.7896i
22.4285	-56.5172+0.7896i
22.4618	-56.2042+0.7896i
22.4951	-55.7687+0.7896i
22.5285	-55.2452+0.7896i
22.5618	-54.5862+0.7896i
22.5951	-53.8469+0.7896i
22.6284	-53.0155+0.7896i
22.6618	-52.0777+0.7896i
22.6951	-51.1240+0.7896i
22.7284	-50.1357+0.7896i
22.7617	-49.3367+0.7896i
22.7951	-48.6223+0.7896i
22.8284	-48.0233+0.7896i
22.8617	-47.5422+0.7896i
22.8950	-47.1677+0.7896i
22.9284	-46.8814+0.7896i
22.9617	-46.6336+0.7896i
22.9950	-46.5422+0.7896i
23.0283	-46.4806+0.7896i
23.0617	-46.5125+0.7896i
23.0950	-46.6588+0.7896i
23.1283	-47.0217+0.7896i
23.1617	-47.3819+0.7896i
23.1950	-48.0323+0.7896i
23.2283	-48.6715+0.7896i
23.2616	-49.5017+0.7896i
23.2950	-50.4071+0.7896i
23.3283	-51.3619+0.7896i
23.3616	-52.4800+0.7896i
23.3949	-53.5823+0.7896i
23.4283	-54.6417+0.7896i
23.4616	-55.6117+0.7896i
