Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
26.4943	-39.5187+0.7896i
26.5277	-39.5192+0.7896i
26.5610	-39.5574+0.7896i
26.5943	-39.5540+0.7896i
26.6276	-39.5191+0.7896i
26.6610	-39.5116+0.7896i
26.6943	-39.5081+0.7896i
26.7276	-39.5189+0.7896i
26.7609	-39.5297+0.7896i
26.7943	-39.6560+0.7896i
26.8276	-39.8267+0.7896i
26.8609	-40.3042+0.7896i
26.8942	-40.6846+0.7896i
26.9276	-41.0559+0.7896i
26.9609	-41.3952+0.7896i
26.9942	-41.8931+0.7896i
27.0275	-42.3111+0.7896i
